Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
Dazr,0.89,0.76,64.8%,0.87,72.2,0.56,2016-09-12,2016-12-11
Qavani,0.23,1.00,31.2%,0.00,38.1,0.25,2016-09-12,2016-12-11
cjb,0.57,0.88,48.3%,0.55,52.4,0.48,2016-09-12,2016-12-11
h0Lt,0.57,0.91,51.2%,0.55,60.3,0.48,2016-09-12,2016-12-11
traNz,0.92,0.80,70.4%,0.87,69.8,0.65,2016-09-12,2016-12-11
KriminaL,0.88,0.80,59.3%,0.97,67.3,0.65,2016-09-12,2016-12-11
snikk,0.81,0.84,60.0%,0.77,62.5,0.60,2016-09-12,2016-12-11
Speed,0.95,0.92,72.0%,0.99,72.4,0.68,2016-09-12,2016-12-11
fuqu,0.80,0.80,60.0%,0.69,64.4,0.60,2016-09-12,2016-12-11
p1xa,1.18,0.68,72.0%,0.87,88.8,0.88,2016-09-12,2016-12-11
bravo,0.89,0.78,66.7%,0.84,67.9,0.57,2016-09-12,2016-12-11
luDAcriS,0.74,0.69,64.2%,0.52,52.4,0.48,2016-09-12,2016-12-11
